SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
738GS2027,GS,102.05,102.25,101.9,101.96,101.94,102.15,321326,32767531.77,09-Jan-2025,71,IN0020220037
364D080525,TB,97.59,97.59,97.2,97.21,97.2,97.25,3100,301359.00,09-Jan-2025,2,IN002024Z065
HDFCGROWTH,EQ,123.66,124.29,122.86,123.1,123,123.56,4602,568852.59,09-Jan-2025,106,INF179KC1DJ0
CONSUMIETF,EQ,116.25,117.22,116.02,116.51,116.81,116.53,49741,5795629.58,09-Jan-2025,281,INF109KC1V42
TALBROAUTO,EQ,308.1,310.9,297,299.4,303.7,308.1,62421,18861965.65,09-Jan-2025,2565,INE187D01029
TTML,EQ,74.41,75.4,72.55,72.9,72.73,74.25,2796630,207058537.43,09-Jan-2025,22115,INE517B01013
OFSS,EQ,11979.85,11989.95,11650,11727.05,11685,11979.85,92192,1089173520.85,09-Jan-2025,18351,INE881D01027
RAJPUTANA,SM,346.95,346.95,331,331.75,331.15,342.2,20000,6703050.00,09-Jan-2025,20,INE0VHU01019
IREDA,EQ,224.9,227.3,213.66,216.09,215.75,223.38,20675319,4580076470.30,09-Jan-2025,167338,INE202E01016
KRISHANA,EQ,190.52,196.6,190.52,192.07,193,191.35,28624,5521205.64,09-Jan-2025,801,INE506W01012
MARALOVER,EQ,82.59,84.02,80.2,80.81,80.3,81.67,12021,983978.42,09-Jan-2025,510,INE882A01013
ADFFOODS,EQ,282.95,288,278.25,280,280,281.5,181176,51207087.20,09-Jan-2025,4477,INE982B01027
AKSHOPTFBR,BE,11.34,11.59,11.16,11.23,11.37,11.62,128534,1462327.26,09-Jan-2025,404,INE523B01011
BAJAJELEC,EQ,767.65,785.15,760,766.45,768,767.65,25015,19360424.40,09-Jan-2025,3387,INE193E01025
HDFCSILVER,EQ,87.29,87.51,87.02,87.45,87.5,87.3,312067,27253058.14,09-Jan-2025,1305,INF179KC1DI2
OSWALSEEDS,BE,18.95,19.19,17.95,18.41,18.3,18.87,34131,632779.22,09-Jan-2025,293,INE00IK01029
GESHIP,EQ,955.45,972,950,952.3,950.5,964.2,258418,247480983.30,09-Jan-2025,21187,INE017A01032
